age,sum EAF, avg EAF
15.00,-2.00,-2.00
16.00,27.62,6.90
17.00,78.28,5.59
18.00,47.43,4.74
19.00,21.17,7.05
20.00,8.17,4.085
# 22.00,18.40,9.2
# 30,7.71,
# 37,7.25,
# 47,-1,
# 48,2.67,
# 49,0,
